region,capacity_scenario,lifetime_scenario,price_scenario,year,annual_material_tonnes,gross_benchmark_value_real_2026_usd,quality_adjusted_gross_value_real_2026_usd,present_value_3pct_real_2026_usd,present_value_5pct_real_2026_usd,present_value_7pct_real_2026_usd
Gujarat,Medium,Fixed_25,Reference,2045,31533.21446197411,96171368.76398236,82649493.77207576,47133851.42129399,32707211.215846542,22853273.747106403
Gujarat,Medium,Fixed_25,Reference,2060,162618.15638725503,495959925.19243395,426227028.6387243,156018229.96566457,81134360.62924011,42716193.50263044
Gujarat,Medium,Fixed_25,Reference,2075,272.42245643853215,830845.8545935317,714027.367680563,167760.93866352516,65379.140003124514,25936.403346310668
Gujarat,Medium,Fixed_25,Upside,2045,31533.21446197411,119173767.02956223,102956838.90562077,58714846.592601836,40743517.26204713,28468423.897858713
Gujarat,Medium,Fixed_25,Upside,2060,162618.15638725503,614584291.983355,530952889.3884769,194352597.16426927,101069430.86731285,53211750.639875606
Gujarat,Medium,Fixed_25,Upside,2075,272.42245643853215,1029568.691652954,889467.0410350398,208980.54117872787,81443.0830472183,32309.092037288654
Gujarat,Medium,Regular_Loss,Downside,2045,99417.81014164475,245847105.7208816,209789774.15446433,119640176.76832044,83020937.46777558,58008620.734171376
Gujarat,Medium,Regular_Loss,Downside,2060,355157.73418634146,878258140.0626066,749447817.6295425,274331551.26654506,142660989.15067214,75109169.16797113
Gujarat,Medium,Regular_Loss,Downside,2075,11872.919338029178,29360160.433560617,25054032.70229491,5886452.303777802,2294045.278694418,910065.2538420446
Gujarat,Medium,Regular_Loss,Reference,2045,99417.81014164475,303208760.7931467,260577039.808103,148603444.71057576,103119183.07094583,72051722.89823765
Gujarat,Medium,Regular_Loss,Reference,2060,355157.73418634146,1083175502.6118183,930878993.4859341,340743507.84308696,177197284.2756739,93292082.720036
Gujarat,Medium,Regular_Loss,Reference,2075,11872.919338029178,36210545.719643004,31119275.012959383,7311482.75683182,2849402.5998989586,1130379.7376881032
Gujarat,Medium,Regular_Loss,Upside,2045,99417.81014164475,375730642.96052384,324601967.72663903,185115966.47015756,128456021.14385393,89755148.9881312
Gujarat,Medium,Regular_Loss,Upside,2060,355157.73418634146,1342250886.7185278,1159600067.6938047,424465690.5205355,220735438.52543133,116214358.895708
Gujarat,Medium,Regular_Loss,Upside,2075,11872.919338029178,44871433.09976691,38765418.130745575,9107946.31643213,3549513.3855758896,1408119.0246158843
India,Conservative,Early_Loss,Downside,2045,1107019.6333787534,2737513252.9534054,2336014025.456832,1332196157.1547065,924440073.9404263,645927344.0690086
India,Conservative,Early_Loss,Downside,2060,1701692.0334730772,4208059508.2670617,3590881622.459181,1314423903.480754,683541551.703097,359875803.0899544
India,Conservative,Early_Loss,Downside,2075,796588.9198206047,1969859123.915513,1680948406.98076,394939319.3654278,153914214.2338585,61058942.36157045
India,Conservative,Early_Loss,Reference,2045,1107019.6333787534,3376236619.2961726,2901531412.372696,1654702820.8320165,1148234507.2263575,802297614.0137601
India,Conservative,Early_Loss,Reference,2060,1701692.0334730772,5189894365.866844,4460185474.973589,1632628145.02028,849017712.3575501,446996865.53215414
India,Conservative,Early_Loss,Reference,2075,796588.9198206047,2429471529.25854,2087883271.3680758,490548784.6528587,191174762.88391137,75840486.11767396
India,Conservative,Early_Loss,Upside,2045,1107019.6333787534,4183769467.7313194,3614450477.181081,2061270601.7400632,1430360789.7755895,999425676.1955729
India,Conservative,Early_Loss,Upside,2060,1701692.0334730772,6431220331.112625,5556072717.1833515,2033772080.7241888,1057625108.7547295,556825966.809011
India,Conservative,Early_Loss,Upside,2075,796588.9198206047,3010555820.8634405,2600885399.453121,611078784.5371697,238147245.27337873,94474828.04038015
India,Conservative,Fixed_25,Downside,2045,385419.5209091829,953091539.3212848,813305725.9163005,463816891.0161951,321852693.181157,224885810.50128675
India,Conservative,Fixed_25,Downside,2060,3489168.3491327194,8628252209.388227,7362783779.974219,2695109450.567388,1401541231.0838943,737893365.5800381
India,Conservative,Fixed_25,Downside,2075,103718.56544757668,256482305.21753788,218865154.9442805,51422432.102933906,20040150.076305225,7950080.338695351
