region,capacity_scenario,lifetime_scenario,price_scenario,material,full_period_material_tonnes,full_period_gross_benchmark_value_real_2026_usd,full_period_quality_adjusted_value_real_2026_usd,full_period_present_value_3pct_real_2026_usd,full_period_present_value_5pct_real_2026_usd,full_period_present_value_7pct_real_2026_usd
Karnataka,Conservative,Fixed_25,Upside,Polymers,151103.76959546367,228619873.87201685,137171924.3232101,61775095.15515283,38246954.39630042,24511562.948419485
Karnataka,Conservative,Fixed_25,Upside,Silicon,58762.57706490254,201270479.38938394,150952859.54203796,67981311.10400966,42089422.91493806,26974109.586669385
Karnataka,Conservative,Fixed_25,Upside,Silver,923.4119253056114,2200316683.02558,2090300848.8743012,941362705.8103286,582828021.374604,373520609.9288327
Karnataka,Conservative,Regular_Loss,Downside,Aluminium,201949.6159384019,523194946.00518185,418555956.8041456,181600440.41952288,110467914.74259754,70158401.6615154
Karnataka,Conservative,Regular_Loss,Downside,Copper,46603.75752424659,518710593.7898197,477213746.28663415,207050515.2085435,125949246.64626192,79990627.64752552
Karnataka,Conservative,Regular_Loss,Downside,Glass,1087421.008899087,614792203.8955946,430354542.7269162,186654963.41110852,113502902.94298348,72052305.69501598
Karnataka,Conservative,Regular_Loss,Downside,Polymers,139811.27257273978,147673736.22409153,88604241.73445491,38443054.17338529,23384987.509171497,14851854.045954231
Karnataka,Conservative,Regular_Loss,Downside,Silicon,54371.05044495436,130007786.19833882,97505839.6487541,42305223.79585865,25734353.0921581,16343940.998124745
Karnataka,Conservative,Regular_Loss,Downside,Silver,854.4022212778542,1187431775.3577294,1128060186.589843,489614855.6654757,297943979.8039197,189318374.47700033
Karnataka,Conservative,Regular_Loss,Reference,Aluminium,201949.6159384019,627104044.8927225,501683235.9141781,217520713.70471653,132228328.08104628,83902315.66740556
Karnataka,Conservative,Regular_Loss,Reference,Copper,46603.75752424659,621729078.1915927,571990751.9362652,248004772.1087458,150759234.89556524,95660658.34418869
Karnataka,Conservative,Regular_Loss,Reference,Glass,1087421.008899087,672776503.9957763,470943552.7970434,204192546.98112324,124126289.55685048,78761361.352458
Karnataka,Conservative,Regular_Loss,Reference,Polymers,139811.27257273978,177002469.18981427,106201481.51388857,46047028.08796096,27991456.231784295,17761307.511277348
Karnataka,Conservative,Regular_Loss,Reference,Silicon,54371.05044495436,155827974.28574365,116870980.71430774,50673128.612763226,30803609.279239986,19545691.811652575
Karnataka,Conservative,Regular_Loss,Reference,Silver,854.4022212778542,1560332157.5809476,1482315549.7019002,642705024.2554142,390692956.8185718,247904849.64713532
Karnataka,Conservative,Regular_Loss,Upside,Aluminium,201949.6159384019,748997827.9152825,599198262.3322259,259644653.56277552,157738884.99842644,100008197.45698074
Karnataka,Conservative,Regular_Loss,Upside,Copper,46603.75752424659,742578098.3392248,683171850.4720869,296032097.5385535,179844924.00952515,114023670.65140413
Karnataka,Conservative,Regular_Loss,Upside,Glass,1087421.008899087,735579387.7174809,514905571.4022366,223184497.8854344,135628849.5873016,86024151.90703143
Karnataka,Conservative,Regular_Loss,Upside,Polymers,139811.27257273978,211407446.7204113,126844468.03224678,54964258.12451158,33391794.02448189,21170766.677325808
Karnataka,Conservative,Regular_Loss,Upside,Silicon,54371.05044495436,186117144.70511296,139587858.52883473,60486225.42432194,36746490.34854567,23297681.244957786
