material,price_scenario,year,base_price_usd_t,annual_real_growth_rate,price_real_2026_usd_t,quality_discount,quality_factor,quality_adjusted_price_real_2026_usd_t
Aluminium,Upside,2066,2338.0,0.02,6148.226877280189,0.1,0.9,5533.4041895521705
Aluminium,Upside,2067,2338.0,0.02,6271.191414825793,0.1,0.9,5644.072273343214
Aluminium,Upside,2068,2338.0,0.02,6396.615243122309,0.1,0.9,5756.9537188100785
Aluminium,Upside,2069,2338.0,0.02,6524.5475479847555,0.1,0.9,5872.09279318628
Aluminium,Upside,2070,2338.0,0.02,6655.038498944451,0.1,0.9,5989.534649050006
Aluminium,Upside,2071,2338.0,0.02,6788.13926892334,0.1,0.9,6109.325342031006
Aluminium,Upside,2072,2338.0,0.02,6923.902054301807,0.1,0.9,6231.511848871626
Aluminium,Upside,2073,2338.0,0.02,7062.3800953878435,0.1,0.9,6356.142085849059
Aluminium,Upside,2074,2338.0,0.02,7203.6276972956,0.1,0.9,6483.264927566041
Aluminium,Upside,2075,2338.0,0.02,7347.700251241512,0.1,0.9,6612.930226117361
Copper,Downside,2026,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2027,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2028,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2029,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2030,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2031,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2032,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2033,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2034,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2035,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2036,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2037,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2038,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2039,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2040,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2041,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2042,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2043,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2044,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2045,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2046,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2047,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2048,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2049,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2050,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2051,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2052,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2053,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2054,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2055,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2056,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2057,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2058,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2059,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2060,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2061,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2062,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2063,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2064,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2065,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2066,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2067,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2068,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2069,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2070,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2071,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2072,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2073,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Downside,2074,14286.0,0.0,14286.0,0.08,0.92,13143.12
