region,capacity_scenario,lifetime_scenario,price_scenario,full_period_material_tonnes,full_period_gross_benchmark_value_real_2026_usd,full_period_quality_adjusted_value_real_2026_usd,full_period_present_value_3pct_real_2026_usd,full_period_present_value_5pct_real_2026_usd,full_period_present_value_7pct_real_2026_usd
India,Conservative,Fixed_25,Upside,57996452.29266353,380317809576.9367,338793851179.0654,133967295373.6607,74570333817.25813,42552910067.193375
India,Conservative,Regular_Loss,Downside,56107597.09672495,138747399322.5369,120695959482.97781,46096038856.44388,25443162238.863907,14573874657.392225
India,Conservative,Regular_Loss,Reference,56107597.09672495,231560698626.72205,204881381201.45963,76361910423.32698,41439714985.42087,23327033316.43197
India,Conservative,Regular_Loss,Upside,56107597.09672495,395006073212.0819,352446309584.5199,128300990082.70644,68489337030.91132,37905926625.93011
India,High,Early_Loss,Downside,114276457.39903437,282600888761.9191,245831928463.6564,98272474932.12602,56963414192.76648,34751403383.89763
India,High,Early_Loss,Reference,114276457.39903437,467290225210.80237,413347581198.81616,158891620242.42194,89601875712.12567,53158319214.211334
India,High,Early_Loss,Upside,114276457.39903437,793919098314.6681,708295113501.7095,262336267265.67017,144061440657.29803,83166710385.92914
India,High,Fixed_25,Downside,137107339.2158828,339048330186.4274,294937511763.0004,107669750549.35187,56982017340.105576,30998443285.368893
India,High,Fixed_25,Reference,137107339.2158828,572823353813.6063,507009194660.9052,182356618919.52667,95531368620.22952,51431337018.71655
India,High,Fixed_25,Upside,137107339.2158828,985920264380.416,879987171212.6742,311928398040.94214,161792283851.26266,86223283148.19801
India,High,Regular_Loss,Downside,125816845.4813084,311129158977.1071,270650531365.38037,94515591743.92326,49136739082.756294,26526962900.459892
India,High,Regular_Loss,Reference,125816845.4813084,538294134757.74457,476819050193.5545,162797848517.88336,83270550636.45549,44189779058.991264
India,High,Regular_Loss,Upside,125816845.4813084,951888634698.7687,850569200315.9807,284252582948.098,143159465220.3243,74735270787.14777
India,Medium,Early_Loss,Downside,79337295.38428575,196200702726.4871,170672618426.04904,70590461265.12865,41919373292.06177,26211688103.701057
India,Medium,Early_Loss,Reference,79337295.38428575,320279868058.97906,283191961551.7232,112390103887.58513,64860704937.83787,39412156415.24773
India,Medium,Early_Loss,Upside,79337295.38428575,537565470146.83777,479351296070.30817,182886978549.8265,102653645397.17633,60642032043.11393
India,Medium,Fixed_25,Downside,92212297.17353815,228028824409.722,198361850196.00433,76019460933.39055,41512316707.39379,23277052897.759686
India,Medium,Fixed_25,Reference,92212297.17353815,377535119929.79596,333940717335.7134,126095616022.62817,68174566955.75092,37844608463.57114
India,Medium,Fixed_25,Upside,92212297.17353815,636476583391.5167,567603933548.3108,211209960734.43134,113074852608.42094,62150207242.28516
India,Medium,Regular_Loss,Downside,87042281.88287649,215244787177.4429,187240894762.06656,67987003300.27375,36291787485.09359,20117083514.241535
India,Medium,Regular_Loss,Reference,87042281.88287649,366670297884.56415,324636520950.0921,115122667505.17058,60432135595.31444,32918936738.32298
India,Medium,Regular_Loss,Upside,87042281.88287649,638491755994.7445,570176634289.6283,197677381454.21002,102111488337.86209,54694651930.92453
Karnataka,Conservative,Early_Loss,Downside,1451452.8994205466,3590097047.6260424,3122849853.8296666,1488629282.284246,982765753.4725358,686220140.4169685
Karnataka,Conservative,Early_Loss,Reference,1451452.8994205466,5566801130.76774,4914150780.07883,2215211224.9874015,1410196602.9041686,951608170.4787239
Karnataka,Conservative,Early_Loss,Upside,1451452.8994205466,8924492122.121874,7943090099.523282,3391779425.1134734,2081984639.0869603,1356612899.8849957
Karnataka,Conservative,Fixed_25,Downside,1654670.2236089916,4091780786.7344427,3559432495.2302017,1602983133.5827036,992458573.3812898,636043083.1451296
Karnataka,Conservative,Fixed_25,Reference,1654670.2236089916,6429653096.324567,5677942565.347148,2468854890.7858,1498905071.1386385,944959433.1920605
Karnataka,Conservative,Fixed_25,Upside,1654670.2236089916,10376607136.575457,9237717720.518358,3869802459.2871137,2299563505.1241803,1423357793.8898444
Karnataka,Conservative,Regular_Loss,Downside,1531011.1076007076,3786086713.404227,3293490106.406043,1428026252.309312,868098422.134061,550846086.4303681
Karnataka,Conservative,Regular_Loss,Reference,1531011.1076007076,6049543340.288563,5345233136.642897,2232049043.57662,1324915080.9810152,822102608.3009666
Karnataka,Conservative,Regular_Loss,Upside,1531011.1076007076,9929561799.140125,8846002351.053572,3557211619.110512,2060783641.9528208,1249525193.604853
Karnataka,High,Early_Loss,Downside,1760734.3613112932,4354920410.602149,3788166042.0376263,1736840013.1632392,1119787418.311838,765743621.6086601
Karnataka,High,Early_Loss,Reference,1760734.3613112932,6865206827.965192,6063627097.524925,2629186109.7468495,1632986165.8268318,1077549830.425672
Karnataka,High,Early_Loss,Upside,1760734.3613112932,11186745564.583494,9963415264.965935,4095696744.67701,2451729461.664854,1560366430.066695
Karnataka,High,Fixed_25,Downside,2071765.1624904238,5123201448.572927,4456663410.410706,1893416058.2647772,1135176669.0966463,708405645.1644919
Karnataka,High,Fixed_25,Reference,2071765.1624904238,8266541377.825458,7306514816.085772,2986419658.3426456,1750136014.4472842,1070827174.965535
Karnataka,High,Fixed_25,Upside,2071765.1624904238,13718691486.72034,12227450128.551943,4802992028.345499,2747039651.146959,1644850141.3215656
Karnataka,High,Regular_Loss,Downside,1854421.9236798026,4585838960.815698,3989193090.7676916,1655524180.548874,981075127.5466292,608992514.3953897
Karnataka,High,Regular_Loss,Reference,1854421.9236798026,7469676436.446,6604203110.3405905,2635423779.300885,1522332598.7279193,922177856.9613199
Karnataka,High,Regular_Loss,Upside,1854421.9236798026,12506677622.765606,11151184305.149395,4281617302.2204766,2410393624.300305,1424166670.9324467
Karnataka,Medium,Early_Loss,Downside,1665522.5261424077,4119470654.341568,3583349430.041196,1660422653.388476,1077596982.5509903,741252948.3357798
Karnataka,Medium,Early_Loss,Reference,1665522.5261424077,6465495783.535273,5709763589.417327,2501740875.1437125,1564393160.3551495,1038769211.3685354
Karnataka,Medium,Early_Loss,Upside,1665522.5261424077,10490308658.58881,9341455862.925146,3878996378.1449122,2337898599.942711,1497632129.8544285
Karnataka,Medium,Fixed_25,Downside,1943283.954583469,4805484401.109856,4180281941.8102837,1803971999.0567229,1091224378.4182343,686118179.5907675
Karnataka,Medium,Fixed_25,Reference,1943283.954583469,7700613649.426673,6804764451.344206,2827015268.2620506,1672765942.1338596,1032063313.1542628
Karnataka,Medium,Fixed_25,Upside,1943283.954583469,12688808359.98745,11306138250.73972,4515545835.611017,2609226995.6064034,1576638501.354824
Karnataka,Medium,Regular_Loss,Downside,1754929.5172952432,4339807375.919259,3775170675.212264,1585519877.5361285,946302325.206099,591090598.8198581
Karnataka,Medium,Regular_Loss,Reference,1754929.5172952432,7032825063.872325,6216928398.891376,2511315345.956056,1461579904.7326558,891373214.3106463
Karnataka,Medium,Regular_Loss,Upside,1754929.5172952432,11713965200.719334,10442119222.010077,4058758433.8100023,2302820610.21237,1370418904.0783012
Maharashtra,Conservative,Early_Loss,Downside,5910128.9753752025,14616228008.806652,12714377949.933739,5797707622.382238,3662639471.668928,2425223676.2259164
Maharashtra,Conservative,Early_Loss,Reference,5910128.9753752025,22918584825.4906,20238038849.445454,8848327671.002897,5438500473.554103,3507522720.0963697
Maharashtra,Conservative,Early_Loss,Upside,5910128.9753752025,36956000329.899,32898766120.673515,13800921887.21987,8252773510.604158,5182568814.640563
