region,capacity_scenario,lifetime_scenario,price_scenario,year,material,annual_material_tonnes,cumulative_material_tonnes,base_price_usd_t,annual_real_growth_rate,price_real_2026_usd_t,quality_discount,quality_factor,quality_adjusted_price_real_2026_usd_t,gross_benchmark_value_real_2026_usd,quality_adjusted_gross_value_real_2026_usd,discount_factor_3pct,present_value_3pct_real_2026_usd,discount_factor_5pct,present_value_5pct_real_2026_usd,discount_factor_7pct,present_value_7pct_real_2026_usd,cumulative_quality_adjusted_value_real_2026_usd,cumulative_present_value_3pct_real_2026_usd,cumulative_present_value_5pct_real_2026_usd,cumulative_present_value_7pct_real_2026_usd,source_range,raw_midpoint_weight_percent,normalized_weight_percent
Gujarat,Medium,Fixed_25,Upside,2075,Aluminium,35.93416806555647,895282.6255559142,2338.0,0.02,7347.700251241512,0.1,0.9,6612.930226117361,264033.495723444,237630.1461510996,0.2349502921834461,55831.272269795845,0.0915639133209995,21758.346104635726,0.03632410257685519,8631.701804145632,3885979123.8465996,1716157442.5205984,1017102054.8752456,612903075.1888908,12-14%,13.0,13.147249190938512
Gujarat,Medium,Fixed_25,Upside,2045,Copper,959.8665048543688,6257.184466019417,14286.0,0.025,28369.58555536073,0.08,0.92,26100.018710931872,27231014.93119109,25052533.736695804,0.5702860268119245,14287109.926271947,0.39573395701665043,9914138.308915762,0.2765083330108392,6927234.341231568,152364136.13418528,94455434.36258845,69386292.83864474,51373843.03990814,2-4%,3.0,3.033980582524272
Gujarat,Medium,Fixed_25,Upside,2060,Copper,4950.073250081325,196817.4155333643,14286.0,0.025,41087.61874414021,0.08,0.92,37800.60924460899,203386722.45490846,187115784.65851578,0.3660448997426385,68492778.63559154,0.19035479962020585,35618387.69444936,0.1002193446977227,18752621.321076646,6300554166.537713,2816844133.9484906,1679735305.5107892,1017101874.4880128,2-4%,3.0,3.033980582524272
Gujarat,Medium,Fixed_25,Upside,2075,Copper,8.292500322820723,206603.6828205956,14286.0,0.025,59507.12289291162,0.08,0.92,54746.55306147869,493462.83579960203,453985.8089356339,0.2349502921834461,106664.09845656532,0.0915639133209995,41568.71725834622,0.03632410257685519,16490.62709221455,6698276107.020812,2950383760.956833,1745539578.8571944,1050018068.4950204,2-4%,3.0,3.033980582524272
Gujarat,Medium,Fixed_25,Upside,2045,Glass,22396.885113268607,146000.9708737864,45.0,0.015,65.22104076688895,0.3,0.7,45.65472853682226,1460748.15702382,1022523.709916674,0.5702860268119245,583130.9838493689,0.39573395701665043,404647.353868671,0.2765083330108392,282736.3264931184,6389887.315412042,3967752.845929803,2917824.8455179306,2162672.320861938,68-72%,70.0,70.79288025889969
Gujarat,Medium,Fixed_25,Upside,2060,Glass,115501.70916856428,4592406.362445167,45.0,0.015,81.54143658733634,0.3,0.7,57.07900561113543,9418175.293897448,6592722.705728213,0.3660448997426385,2413232.5218493002,0.19035479962020585,1254956.4096004753,0.1002193446977227,660718.3493418789,236893795.86003536,106346375.33000742,63598466.40734004,38624869.9876289,68-72%,70.0,70.79288025889969
Gujarat,Medium,Fixed_25,Upside,2075,Glass,193.49167419915025,4820752.59914723,45.0,0.015,101.94571878255158,0.3,0.7,71.3620031477861,19725.647804671662,13807.953463270162,0.2349502921834461,3244.182700650751,0.0915639133209995,1264.3102540512639,0.03632410257685519,501.56151797626825,250504305.71747145,110923027.11856756,65855676.15483518,39754858.71344814,68-72%,70.0,70.79288025889969
Gujarat,Medium,Fixed_25,Upside,2045,Polymers,2879.5995145631064,18771.55339805825,1600.0,0.015,2422.7880755710116,0.4,0.6,1453.672845342607,6976659.366303568,4185995.6197821405,0.5702860268119245,2387214.8102576765,0.39573395701665043,1656540.6106707526,0.2765083330108392,1157462.6708166343,26158846.052964367,16243140.254218414,11944957.270110525,8853522.685444506,8-10%,9.0,9.101941747572816
Gujarat,Medium,Fixed_25,Upside,2060,Polymers,14850.219750243976,590452.246600093,1600.0,0.015,3029.0473427867046,0.4,0.6,1817.4284056720228,44982018.67427515,26989211.204565093,0.3660448997426385,9879263.109507924,0.19035479962020585,5137525.890752403,0.1002193446977227,2704841.0608299486,969793054.3874446,435359549.11734545,260358658.89865935,158122041.5867373,8-10%,9.0,9.101941747572816
Gujarat,Medium,Fixed_25,Upside,2075,Polymers,24.87750096846217,619811.0484617867,1600.0,0.015,3787.012119366143,0.4,0.6,2272.207271619686,94211.3976671092,56526.83860026552,0.2349502921834461,13280.997245338882,0.0915639133209995,5175.81854990484,0.03632410257685519,2053.286683661382,1025511600.660442,454095392.75048923,269599197.79698396,162747976.23334613,8-10%,9.0,9.101941747572816
