region,capacity_scenario,lifetime_scenario,year,metric,Glass_tonnes,Aluminium_tonnes,Polymers_tonnes,Silicon_tonnes,Copper_tonnes,Silver_tonnes,Zinc_tonnes,Lead_tonnes,Tin_tonnes,Other_tonnes
India,Medium,Fixed_25,2045,annual,273749.3426375405,50839.16363268609,35196.34405339806,13687.467131877023,11732.11468446602,215.08876921521036,254.19581816343043,117.3211468446602,117.3211468446602,782.1409789644014
India,Medium,Fixed_25,2045,cumulative,1709456.7758899676,317470.5440938511,219787.29975728155,85472.83879449838,73262.43325242717,1343.1446096278316,1587.3527204692555,732.6243325242718,732.6243325242718,4884.162216828479
India,High,Fixed_25,2045,annual,273749.3426375405,50839.16363268609,35196.34405339806,13687.467131877023,11732.11468446602,215.08876921521036,254.19581816343043,117.3211468446602,117.3211468446602,782.1409789644014
India,High,Fixed_25,2045,cumulative,1709456.7758899676,317470.5440938511,219787.29975728155,85472.83879449838,73262.43325242717,1343.1446096278316,1587.3527204692555,732.6243325242718,732.6243325242718,4884.162216828479
India,Conservative,Early_Loss,2045,annual,786275.4232308127,146022.57860000804,101092.55441539019,39313.77116154063,33697.5181384634,617.7878325384955,730.1128930000402,336.97518138463397,336.97518138463397,2246.5012092308934
India,Conservative,Early_Loss,2045,cumulative,6431871.958161757,1194490.5065157549,826954.9660493687,321593.5979080879,275651.6553497896,5053.6136814128095,5972.4525325787745,2756.516553497896,2756.516553497896,18376.777023319308
India,Medium,Early_Loss,2045,annual,1043017.5309444497,193703.25574682638,134102.25397857212,52150.87654722249,44700.7513261907,819.5137743134962,968.5162787341319,447.00751326190704,447.00751326190704,2980.0500884127136
India,Medium,Early_Loss,2045,cumulative,7836384.280587607,1455328.509251984,1007535.121789835,391819.21402938035,335845.0405966117,6157.159077604548,7276.64254625992,3358.450405966117,3358.450405966117,22389.66937310745
India,High,Early_Loss,2045,annual,1307158.4412703502,242757.99623592215,168063.22816333073,65357.92206351751,56021.076054443576,1027.0530609981322,1213.7899811796108,560.2107605444357,560.2107605444357,3734.738403629572
India,High,Early_Loss,2045,cumulative,9176258.629053164,1704162.3168241591,1179804.6808782641,458812.93145265826,393268.22695942136,7209.917494256058,8520.811584120796,3932.6822695942137,3932.6822695942137,26217.881797294758
India,Conservative,Regular_Loss,2045,annual,402781.27072296065,74802.23599140698,51786.163378666366,20139.063536148034,17262.054459555457,316.4709984251833,374.01117995703487,172.62054459555458,172.62054459555458,1150.8036306370304
India,Conservative,Regular_Loss,2045,cumulative,1971809.6616287567,366193.2228739119,253518.3850665544,98590.48308143782,84506.12835551813,1549.2790198511657,1830.9661143695596,845.0612835551814,845.0612835551814,5633.741890367876
India,Medium,Regular_Loss,2045,annual,438357.79937416856,81409.30559805987,56360.28849096452,21917.889968708427,18786.76283032151,344.423985222561,407.04652799029935,187.8676283032151,187.8676283032151,1252.4508553547673
India,Medium,Regular_Loss,2045,cumulative,2077324.9219203142,385788.9140709155,267084.6328183261,103866.24609601572,89028.21093944203,1632.183867223104,1928.9445703545773,890.2821093944204,890.2821093944204,5935.2140626294695
India,High,Regular_Loss,2045,annual,466014.9845987233,86545.63999690575,59916.212305550136,23300.749229936166,19972.07076851671,366.15463075613974,432.72819998452877,199.72070768516716,199.72070768516716,1331.471384567781
India,High,Regular_Loss,2045,cumulative,2155710.6697883713,400346.26724641176,277162.800401362,107785.53348941857,92387.60013378733,1693.7726691194343,2001.7313362320588,923.8760013378734,923.8760013378734,6159.173342252489
Karnataka,Conservative,Fixed_25,2045,annual,47365.67556634305,8796.482605177995,6089.872572815535,2368.2837783171526,2029.957524271845,37.21588794498383,43.982413025889976,20.29957524271845,20.29957524271845,135.330501618123
Karnataka,Conservative,Fixed_25,2045,cumulative,351824.75728155347,65338.88349514564,45234.61165048544,17591.237864077673,15078.203883495147,276.43373786407767,326.6944174757282,150.7820388349515,150.7820388349515,1005.2135922330099
Karnataka,Medium,Fixed_25,2045,annual,47365.67556634305,8796.482605177995,6089.872572815535,2368.2837783171526,2029.957524271845,37.21588794498383,43.982413025889976,20.29957524271845,20.29957524271845,135.330501618123
Karnataka,Medium,Fixed_25,2045,cumulative,351824.75728155347,65338.88349514564,45234.61165048544,17591.237864077673,15078.203883495147,276.43373786407767,326.6944174757282,150.7820388349515,150.7820388349515,1005.2135922330099
Karnataka,High,Fixed_25,2045,annual,47365.67556634305,8796.482605177995,6089.872572815535,2368.2837783171526,2029.957524271845,37.21588794498383,43.982413025889976,20.29957524271845,20.29957524271845,135.330501618123
Karnataka,High,Fixed_25,2045,cumulative,351824.75728155347,65338.88349514564,45234.61165048544,17591.237864077673,15078.203883495147,276.43373786407767,326.6944174757282,150.7820388349515,150.7820388349515,1005.2135922330099
Karnataka,Conservative,Early_Loss,2045,annual,25348.63952807781,4707.604483785879,3259.110796467147,1267.4319764038905,1086.370265489049,19.916788200632563,23.538022418929394,10.86370265489049,10.86370265489049,72.4246843659366
Karnataka,Conservative,Early_Loss,2045,cumulative,301733.9954376924,56036.31343842859,38794.37084198902,15086.69977188462,12931.456947329672,237.076710701044,280.1815671921429,129.31456947329673,129.31456947329673,862.0971298219783
Karnataka,Medium,Early_Loss,2045,annual,27119.97733361415,5036.56721909977,3486.8542286075335,1355.9988666807076,1162.2847428691778,21.30855361926826,25.182836095498853,11.62284742869178,11.62284742869178,77.48564952461186
Karnataka,Medium,Early_Loss,2045,cumulative,312865.0409064985,58103.507596921154,40225.50525940695,15643.252045324925,13408.50175313565,245.82253214082024,290.5175379846057,134.0850175313565,134.0850175313565,893.9001168757101
Karnataka,High,Early_Loss,2045,annual,27908.405208648233,5182.989538748958,3588.2235268262016,1395.4202604324119,1196.074508942067,21.9280326639379,25.914947693744786,11.960745089420673,11.960745089420673,79.73830059613782
Karnataka,High,Early_Loss,2045,cumulative,317832.6708791992,59026.06744899414,40864.200541611324,15891.63354395996,13621.400180537108,249.72566997651364,295.1303372449707,136.21400180537108,136.21400180537108,908.0933453691407
Karnataka,Conservative,Regular_Loss,2045,annual,28794.199608673833,5347.494213039426,3702.111378258064,1439.7099804336917,1234.0371260860213,22.624013978243724,26.737471065197127,12.340371260860215,12.340371260860215,82.2691417390681
Karnataka,Conservative,Regular_Loss,2045,cumulative,178977.78506506543,33238.73151208358,23011.429508365552,8948.889253253272,7670.476502788518,140.62540255112282,166.19365756041788,76.70476502788519,76.70476502788519,511.36510018590127
Karnataka,Medium,Regular_Loss,2045,annual,29233.166863025584,5429.016703133323,3758.5500252461466,1461.6583431512793,1252.850008415382,22.96891682094867,27.145083515666613,12.528500084153823,12.528500084153823,83.52333389435881
Karnataka,Medium,Regular_Loss,2045,cumulative,180498.42787868495,33521.13660604149,23206.94072725949,9024.921393934248,7735.6469090864975,141.82019333325246,167.60568303020744,77.35646909086498,77.35646909086498,515.7097939390999
Karnataka,High,Regular_Loss,2045,annual,29430.133572107585,5465.59623481998,3783.874316413832,1471.5066786053792,1261.2914388046106,23.12367637808453,27.327981174099897,12.612914388046107,12.612914388046107,84.08609592030739
Karnataka,High,Regular_Loss,2045,cumulative,181181.61939207124,33648.015029956085,23294.779636123443,9059.080969603561,7764.926545374481,142.35698666519883,168.2400751497804,77.64926545374482,77.64926545374482,517.6617696916321
Maharashtra,Conservative,Fixed_25,2045,annual,8549.231391585763,1587.7144012944987,1099.1868932038838,427.4615695792881,366.39563106796123,6.717253236245956,7.9385720064724925,3.6639563106796125,3.6639563106796125,24.42637540453075
Maharashtra,Conservative,Fixed_25,2045,cumulative,91892.83980582524,17065.813106796115,11814.793689320388,4594.641990291262,3938.264563106796,72.20151699029125,85.32906553398057,39.38264563106796,39.38264563106796,262.5509708737864
Maharashtra,Medium,Fixed_25,2045,annual,8549.231391585763,1587.7144012944987,1099.1868932038838,427.4615695792881,366.39563106796123,6.717253236245956,7.9385720064724925,3.6639563106796125,3.6639563106796125,24.42637540453075
Maharashtra,Medium,Fixed_25,2045,cumulative,91892.83980582524,17065.813106796115,11814.793689320388,4594.641990291262,3938.264563106796,72.20151699029125,85.32906553398057,39.38264563106796,39.38264563106796,262.5509708737864
Maharashtra,High,Fixed_25,2045,annual,8549.231391585763,1587.7144012944987,1099.1868932038838,427.4615695792881,366.39563106796123,6.717253236245956,7.9385720064724925,3.6639563106796125,3.6639563106796125,24.42637540453075
