region,capacity_scenario,lifetime_scenario,year,material,source_range,raw_midpoint_weight_percent,normalized_weight_percent,annual_material_tonnes,cumulative_material_tonnes
Gujarat,Conservative,Early_Loss,2045,Aluminium,12-14%,13.0,13.147249190938512,13980.400385485329,137937.97139764501
Gujarat,Conservative,Early_Loss,2045,Polymers,8-10%,9.0,9.101941747572816,9678.73872841292,95495.51865990808
Gujarat,Conservative,Early_Loss,2045,Silicon,3-4%,3.5,3.5396440129449838,3763.9539499383577,37137.14614551981
Gujarat,Conservative,Early_Loss,2045,Copper,2-4%,3.0,3.033980582524272,3226.2462428043063,31831.839553302692
Gujarat,Conservative,Early_Loss,2045,Silver,0.03-0.08%,0.055,0.05562297734627832,59.147847784745615,583.5837251438827
Gujarat,Conservative,Early_Loss,2045,Zinc,0.03-0.10%,0.065,0.06573624595469256,69.90200192742664,689.689856988225
Gujarat,Conservative,Early_Loss,2045,Lead,0.01-0.05%,0.03,0.03033980582524272,32.262462428043065,318.31839553302694
Gujarat,Conservative,Early_Loss,2045,Tin,0.01-0.05%,0.03,0.03033980582524272,32.262462428043065,318.31839553302694
Gujarat,Conservative,Early_Loss,2045,Other,<0.20%,0.2,0.2022653721682848,215.08308285362045,2122.1226368868465
Gujarat,Conservative,Regular_Loss,2045,Glass,68-72%,70.0,70.79288025889969,56728.78800188315,280373.60829017044
Gujarat,Conservative,Regular_Loss,2045,Aluminium,12-14%,13.0,13.147249190938512,10535.346343206871,52069.38439674593
Gujarat,Conservative,Regular_Loss,2045,Polymers,8-10%,9.0,9.101941747572816,7293.701314527833,36048.03535159334
Gujarat,Conservative,Regular_Loss,2045,Silicon,3-4%,3.5,3.5396440129449838,2836.4394000941575,14018.68041450852
Gujarat,Conservative,Regular_Loss,2045,Copper,2-4%,3.0,3.033980582524272,2431.2337715092776,12016.011783864446
Gujarat,Conservative,Regular_Loss,2045,Silver,0.03-0.08%,0.055,0.05562297734627832,44.572619144336755,220.29354937084818
Gujarat,Conservative,Regular_Loss,2045,Zinc,0.03-0.10%,0.065,0.06573624595469256,52.67673171603435,260.34692198372966
Gujarat,Conservative,Regular_Loss,2045,Lead,0.01-0.05%,0.03,0.03033980582524272,24.312337715092777,120.16011783864447
Gujarat,Conservative,Regular_Loss,2045,Tin,0.01-0.05%,0.03,0.03033980582524272,24.312337715092777,120.16011783864447
Gujarat,Conservative,Regular_Loss,2045,Other,<0.20%,0.2,0.2022653721682848,162.08225143395185,801.0674522576298
Gujarat,Medium,Fixed_25,2045,Glass,68-72%,70.0,70.79288025889969,22396.885113268607,146000.9708737864
Gujarat,Medium,Fixed_25,2045,Aluminium,12-14%,13.0,13.147249190938512,4159.421521035599,27114.466019417476
Gujarat,Medium,Fixed_25,2045,Polymers,8-10%,9.0,9.101941747572816,2879.5995145631064,18771.55339805825
Gujarat,Medium,Fixed_25,2045,Silicon,3-4%,3.5,3.5396440129449838,1119.8442556634304,7300.0485436893205
Gujarat,Medium,Fixed_25,2045,Copper,2-4%,3.0,3.033980582524272,959.8665048543688,6257.184466019417
Gujarat,Medium,Fixed_25,2045,Silver,0.03-0.08%,0.055,0.05562297734627832,17.597552588996763,114.71504854368932
Gujarat,Medium,Fixed_25,2045,Zinc,0.03-0.10%,0.065,0.06573624595469256,20.79710760517799,135.57233009708736
Gujarat,Medium,Fixed_25,2045,Lead,0.01-0.05%,0.03,0.03033980582524272,9.598665048543689,62.571844660194174
Gujarat,Medium,Fixed_25,2045,Tin,0.01-0.05%,0.03,0.03033980582524272,9.598665048543689,62.571844660194174
Gujarat,Medium,Fixed_25,2045,Other,<0.20%,0.2,0.2022653721682848,63.9911003236246,417.1456310679612
Gujarat,Medium,Early_Loss,2045,Glass,68-72%,70.0,70.79288025889969,120124.29566580574,1059839.221767697
Gujarat,Medium,Early_Loss,2045,Aluminium,12-14%,13.0,13.147249190938512,22308.797766506777,196827.28404257228
Gujarat,Medium,Early_Loss,2045,Polymers,8-10%,9.0,9.101941747572816,15444.552299889308,136265.0427987039
Gujarat,Medium,Early_Loss,2045,Silicon,3-4%,3.5,3.5396440129449838,6006.2147832902865,52991.96108838484
